ainl_2015_02245f6cfaabc09a052cee09962e0af480be3a23	Crowdsourcing Synset Relations with Genus-species-match	https://www.fruct.org/publications/ainl-fruct/files/Ust.pdf
ainl_2015_321ca6b29c641b9be380ca96ae2bc8e4060e408f	Comparison of Sentence Similarity Measures as Features for Russian Paraphrase Classification	https://www.fruct.org/publications/ainl-fruct/files/Pro.pdf
ainl_2015_3428d44f85d84acafefd3ff5054fca2352c82a85	Semantic Parser For Sentiment Analysis And The Emotional Computer Agents	https://www.fruct.org/publications/ainl-abstract/files/Kot.pdf
ainl_2015_35ab8f30b169ce81f8add77a31cbfe1349c29515	Discovering Text Reuse in Large Collections of Documents: a Study of Theses in History Sciences	https://www.fruct.org/publications/ainl-fruct/files/Khr.pdf
ainl_2015_3919051df147a4c014a12aa7a49706a258643950	Search for Answers in Ontological-semantic Graph	https://www.fruct.org/publications/ainl-abstract/files/Moc.pdf
ainl_2015_6930d352a464604ee8ef561a9481dad2188c5f45	Arabic Manuscripts Identiﬁcation Based on Feature Relation Graph	http://ieeexplore.ieee.org/document/7382974/
ainl_2015_6fb75124318bbad132d04e1f448bdff156420309	Morpho-syntactic Parsing Based on Neural Networks and Corpus Data	https://www.fruct.org/publications/ainl-fruct/files/Ryb.pdf
ainl_2015_76f97de2aca1394aa57cf6c4c1c1b4d04856a51d	Esperus: the First Step to Build a Statistical Machine Translation System for Esperanto and Russian Languages	https://www.fruct.org/publications/ainl-abstract/files/Orl.pdf
ainl_2015_860916ac622ec0a6242f810c5702fb9eb36e52c4	Recurrent Neural Network-Based Language Modeling For An Automatic Russian Speech Recognition System	http://ieeexplore.ieee.org/document/7382966/
ainl_2015_8fa8744c66427626bc2288115ca09851f3993062	A Corpus-driven Estimation of Association Strength in Lexical Constructions	https://www.fruct.org/publications/ainl-abstract/files/Buk.pdf
ainl_2015_97c98251d28c0538fbea9d42c6c9854c8d255bfe	Building Dependency Parsing Model for Russian with Maltparser and Mystem Tagset	https://pdfs.semanticscholar.org/f2e0/88d9f5839dfcda3f31f11f36cdf969e5fd86.pdf
ainl_2015_99feadea2a241df14ffadfdddea6a650d52446b7	Rhetorical Structure Theory as a Feature for Deception Detection in News Reports in the Russian	https://www.fruct.org/publications/ainl-abstract/files/Pis.pdf
ainl_2015_a3a88f2bf2a097e6908c7d52283876bd95e12776	Ruwordnet - Russian Wordnet by Extraction from Ruthes	https://www.fruct.org/publications/ainl-abstract/files/Las.pdf
